Letter ID,Title,Date,Creator,Top Terms (comma-separated)
87,"Ola Holm to John Holm 1945.7.8",1945.07.08,"Ola Holm","soliers(0.072), geting(0.054), juli(0.036), 8th-45(0.036), allready(0.036), worlds(0.036), broad-caster(0.036), sawingmachin(0.036), secondhanded(0.036), useable(0.036)"
88,"Axel Holm to John Holm 1945.7.29",1945.06.29,"Axel Holm","falstad(0.045), kårkal(0.037), tuberculosis(0.036), german(0.034), 1943(0.033), gestapo(0.033), freed(0.033), sweden(0.032), august(0.031), 44(0.030)"
89,"Klara Krogstad to Alma C. Wilson 1945.7.23",1945.07.23,"Klara Korgstad","jubilation(0.040), knut-ros(0.040), englishman(0.035), song(0.033), raid(0.032), sirens(0.032), oldest(0.029), disease(0.026), mary(0.026), 23(0.024)"
90,"Ola Holm to Alma C. Wilson 1945.7.30",1945.07.30,"Ola Holm","nt(0.063), intrest(0.042), stoff(0.042), betsina(0.037), alittle(0.037), shirts(0.036), em(0.034), ever(0.032), relation(0.031), geting(0.031)"
91,"Odd Conrad Holm to Grace Wilson 1945.7.10",1945.07.10,"Odd Conrad Holm","mediterranean(0.079), quiete(0.079), thankfull(0.079), 7th(0.051), dated(0.043), voyage(0.040), italian(0.040), brindizi(0.040), censore(0.040), v-e(0.040)"
92,"Ola Holm to John Holm 1945.8.13",1945.08.13,"Ola Holm","parcels(0.054), women(0.052), journal(0.043), silk(0.034), mentioned(0.030), 13-8-45(0.027), missus(0.027), fiddles(0.027), stomping(0.027), sweating(0.027)"
93,"Florence Winters to Alma C. Wilson Card 1945.8.14",1945.08.14,"Florence Winters","shirts(0.129), mon(0.115), rice(0.115), ans(0.115), rec(0.100), tea(0.100), etc(0.095), sizes(0.092), dried(0.092), fruits(0.086)"
94,"Ola Holm to John Holm 1945.9.1",1945.09.01,"Ola Holm","en(0.061), spoilt(0.049), coat(0.048), interested(0.034), ola(0.033), 1-1945(0.031), deeds(0.031), favourite(0.031), chased(0.031), vel(0.031)"
95,"Berith Holm and Ola Holm to John Holm 1945.9.1",1945.09.01,"Berith Holm","leaving(0.068), glad(0.043), jacket(0.039), healthy(0.034), 9-45(0.034), bearskin(0.034), pliers(0.034), wrench(0.034), harry(0.034), treating(0.034)"
96,"Laura Karlson to John Holm 1945.9.10",1945.09.10,"Laura Karlson","mindor(0.040), kin(0.037), nor(0.034), 9-1945(0.031), long-lasting(0.031), prison(0.031), lastly(0.031), americ(0.031), stjørdal(0.030), sons(0.030)"
97,"Evelyn Holm to Grace Wilson 1945.9.28",1945.09.28,"Evelyn Holm","able(0.035), lucky(0.033), 28-9-45(0.032), finger(0.032), fiancee(0.032), pleuricy(0.032), slowly(0.032), count(0.032), wasted(0.032), overworked(0.032)"
98,"Ola Holm to John Holm 1945.10.8",1945.10.08,"Ola Holm","8-10-45(0.044), intereting(0.044), øien(0.044), fanny(0.044), separately(0.038), mentioning(0.038), caused(0.038), judd(0.038), radioes(0.038), heim(0.038)"
99,"Klara Krogstad to Alma C. Wilson 1945.10.29",1945.10.29,"Klara Krogstad","wears(0.043), mary(0.035), november(0.032), medication(0.027), menopause(0.027), lean(0.027), invitation(0.027), sleepy(0.027), talked(0.027), turns(0.025)"
100,"Laura Karlsson to Alma C. Wilson 1945.10.10",1945.10.10,"Laura Karlsson","milk(0.027), soles(0.024), mindor(0.023), coat(0.021), thousand(0.019), pants(0.018), black(0.018), office(0.016), post(0.016), package(0.015)"
101,"Ola Holm to Alma C. Wilson Card 1945.12",1945.12,"Ola Holm","wished(0.593), merry(0.445), ole(0.302), happy(0.255), yours(0.219), christmas(0.189)"
